"DONE","ID","ISO","country","name_1","name_2","abbr_1","founded","website","Facebook","Twitter","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
1,10249,"IDN","Indonesia","Forum Himpunan Kelompok Kerja 30",NA,"Pokja 30",1999,"https://pokja30.org/","https://www.facebook.com/pokja30","https://twitter.com/FHPOKJA30",NA,NA,"0",NA,NA,NA,NA,"0",NA,"0",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA
1,10251,"IDN","Indonesia","Independent Election Monitoring Committee","Komite Independen Pemantau Pemilu","KIPP",1996,"https://kippindo.org/","https://www.facebook.com/pages/KIPP-Indonesia/105348999503351",NA,NA,NA,"0",NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA
1,10256,"IDN","Indonesia","Institute for Social Economic Research Education and Information","Lembaga Penelitian, Pendidikan dan Penerangan Ekonomi dan Sosial","LP3ES",1971,"http://www.lp3es.or.id","https://www.facebook.com/LP3ES.jakarta/","https://twitter.com/lp3esjakarta",NA,NA,"1",NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA
1,10263,"IDN","Indonesia","People's Voter Education Network","Jaringan Pendidikan Pemilih untuk Rakyat","JPPR",1998,"http://www.jppr.org/",NA,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA
1,10265,"IDN","Indonesia","Society For Elections and Democracy","Perkumpulan Untuk Pemilu dan Demokrasi","Perludem",2005,"http://www.perludem.org","https://www.facebook.com/perkumpulanpemiludemokrasi/",NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA
1,10268,"IRQ","Iraq","Ajyal Association for Intelligence and Creation Development","جمعية اجيال لتنمية الذكاء والابداع",NA,2004,"http://www.ajial-iq.com/Default.aspx","https://www.facebook.com/acsicd/",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,"0",NA,"0",NA,NA,"1",NA,NA,NA,NA,"DK",NA,NA,NA,"1",NA,NA,NA,"DK",NA,NA,"1"
1,10269,"IRQ","Iraq","Akad Cultural Institute","معهد أكد الثقافي",NA,2005,NA,"https://www.facebook.com/Adnan.Akad14",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,"0",NA,"0",NA,NA,"DK",NA,NA,NA,NA,"DK",NA,NA,NA,"1",NA,NA,NA,"DK",NA,NA,"DK"
1,10271,"IRQ","Iraq","Alhaq Organization for Human Rights Culture","منظمة الحق لثقافة حقوق اﻻنسان",NA,2012,"https://www.alhaq-iq.org/","https://www.facebook.com/%D9%85%D9%86%D8%B8%D9%85%D8%A9-%D8%A7%D9%84%D8%AD%D9%82-%D9%84%D8%AB%D9%82%D8%A7%D9%81%D8%A9-%D8%AD%D9%82%D9%88%D9%82-%D8%A7%D9%84%D8%A7%D9%86%D8%B3%D8%A7%D9%86-214166868618887/",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,"0",NA,"0",NA,NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,"1",NA,NA,NA,"DK",NA,NA,"1"
1,10273,"IRQ","Iraq","Generations for Peace Network","شبكة اجيال السلام",NA,2007,"www.generationsforpeace.org","https://www.facebook.com/GPN.Iraq/?locale=ar_AR",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,"0",NA,"0",NA,NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"DK",NA,NA,"DK"
1,10274,"IRQ","Iraq","Hammurabi Organization for Monitoring Human Rights and Democracy","منظمة حمورابي لمراقبة حقوق الإنسان والديمقراطية",NA,2005,"http://www.hhro.org/","https://www.facebook.com/%D9%85%D9%86%D8%B8%D9%85%D8%A9-%D8%AD%D9%85%D9%88%D8%B1%D8%A7%D8%A8%D9%8A-%D9%84%D8%AD%D9%82%D9%88%D9%82-%D8%A7%D9%84%D8%A7%D9%86%D8%B3%D8%A7%D9%86Hammurabi-Human-Rights-Organization-HHRO-123814254458669/","https://twitter.com/hammurabi_hhro",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,"0",NA,"0",NA,NA,"DK",NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,"1"
1,10275,"IRQ","Iraq","Human Rights Organization in Wasit","منظمة حقوق الإنسان في واسط",NA,2003,"https://www.ihchr.iq/?fbclid=IwAR3LjXXX0IVGaRFe32umCSfhPseEZF24ZzF9LUYbUtOLRM58DRohI0HNYCA","https://www.facebook.com/ihchr/?locale=ar_AR",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,"0",NA,"0",NA,NA,"DK",NA,NA,NA,NA,"DK",NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,"1"
1,10276,"IRQ","Iraq","Iraqi Election Information Network","شبكة عين العراق","EIN Al-Iraq",2004,"http://www.einiraq.com/","https://www.facebook.com/einiraq","https://twitter.com/einiraq",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,"0",NA,"0",NA,NA,"1",NA,NA,NA,NA,"DK",NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,"1"
1,10277,"IRQ","Iraq","Shams Network for Monitoring Elections","شبكة شمس لمراقبة الانتخابات",NA,2004,"https://www.sun-network.org/about/","https://www.facebook.com/%D8%B4%D8%A8%D9%83%D8%A9-%D8%B4%D9%85%D8%B3-253077491430/",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,"0",NA,"0",NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,"1"
1,10278,"IRQ","Iraq","South Youth Organization","منظمة شباب الجنوب",NA,2005,"http://www.syo-iq.org/","https://www.facebook.com/South-Youth-Organization-354236975658/",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,"0",NA,"0",NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,"1"
1,10279,"IRQ","Iraq","Tammuz Organization for Social Development","جمعية تموز للتنمية الاجتماعية",NA,1997,"http://www.tammuz.org/","https://www.facebook.com/pages/Tammuz-Organizatiin-for-Social-Development/631315523554761",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,"0",NA,"0",NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,"1"
1,10280,"IRQ","Iraq","The integrity of the election monitoring team","فريق مراقبة نزاهة الانتخابات","EIMT",2009,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,"0",NA,"0",NA,NA,"0",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"0"
1,10283,"JOR","Jordan","Al-Hayat Center for Civil Society Development","مركز الحياة لتنمية المجتمع المدني","Al-Hayat",2006,"http://www.hayatcenter.org/","https://www.facebook.com/HAYATCENTERJO","https://twitter.com/alhayatcenter",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,"1",NA
1,10284,"JOR","Jordan","Al-Mashreq Al-Jadid Center for Studies and Research","مركز المشرق الجديد للدراسات والأبحاث النوعية","MJD",2004,"http://www.mjderasat.org/","https://www.facebook.com/mashreqjadid/timeline","https://x.com/alMashreqaljadi",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,"DK",NA,NA,"DK",NA,NA,"DK",NA,NA,"0",NA,NA,NA,"0",NA
1,10285,"JOR","Jordan","Al-Quds Center for Political Studies","مركز القدس للدراسات السياسية",NA,1999,"http://www.alqudscenter.org/","https://www.facebook.com/Al-Quds-Center-for-Political-Studies-253565610303/",NA,NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,"1",NA
1,10286,"JOR","Jordan","Amman Center for Human Rights Studies","مركز عمان لدراسات حقوق الإنسان","ACHRS",1999,"http://www.achrs.org/","https://www.facebook.com/pages/Amman-Center-for-Human-Rights-Studies/126534764056160",NA,NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,"DK",NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,"1",NA
1,10287,"JOR","Jordan","Identity Center",NA,NA,2009,"http://www.identity-center.org/","https://www.facebook.com/Identity.Center","https://twitter.com/identity_center",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,"DK",NA
1,10288,"JOR","Jordan","Jordanian Network for civil society organizations","الشبكة الأردتية لمنظمات المجتمع المدني",NA,2013,NA,"https://www.facebook.com/profile.php?id=100064520146809",NA,NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,NA,"0",NA
1,10289,"JOR","Jordan","Jordanian Women’s Union","اتحاد المرأة الأردنية",NA,1945,"http://www.jwu.org.jo/","https://www.facebook.com/pages/Jordanian-womens-union/415219825249557?rf=211049795726032",NA,NA,NA,NA,"DK",NA,NA,NA,"DK",NA,NA,NA,NA,NA,"DK",NA,NA,NA,"DK",NA,NA,"DK",NA,NA,"1",NA,NA,"1",NA,NA,NA,"DK",NA
1,10290,"JOR","Jordan","National Center for Human Rights","المركز الوطني لحقوق الإنسان","NCHR",2002,"http://www.nchr.org.jo/","https://www.facebook.com/nchrj","https://twitter.com/nchrjo",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,"1",NA
